node,year_construction,capacity_existing
AT,1994,0.13842269957989556
AT,1995,0.03910675323402498
AT,1996,0.03910675323402498
AT,1997,0.1768623881569339
AT,1998,0.04595938692774703
AT,1999,0.03910675323402498
AT,2000,0.10282610644346776
AT,2001,0.03910675323402498
AT,2002,0.1251038286019963
AT,2003,0.03910675323402498
AT,2004,0.03910675323402498
AT,2005,0.20001952241858173
AT,2006,0.06514792084024143
AT,2007,0.2022537401655695
AT,2008,0.04246440139723265
AT,2009,0.06185265213582592
AT,2010,0.03910675323402498
AT,2011,0.17448286575277705
AT,2012,0.06691443728190344
AT,2013,0.03910675323402498
AT,2014,0.2186930166841211
AT,2015,0.03910675323402498
AT,2016,0.054845308875095616
AT,2017,0.05871964578191509
AT,2018,0.23676021399336294
AT,2019,0.048841293176066336
AT,2020,0.05856755866082863
BE,1994,0.03423329395652354
BE,1995,0.004575480272740911
BE,1996,0.004575480272740911
BE,1997,0.09504022784645236
BE,1998,0.04404014951722868
BE,1999,0.0677702777076584
BE,2000,0.06843215894593621
BE,2001,0.004575480272740911
BE,2002,0.08741198651542689
BE,2003,0.004575480272740911
BE,2004,0.057974629012781845
BE,2005,0.043422777959506546
BE,2006,0.09267396000854497
BE,2007,0.14824160748762819
BE,2008,0.004575480272740911
BE,2009,0.09668321664483812
BE,2010,0.004575480272740911
BE,2011,0.24132769292867035
BE,2012,0.004575480272740911
BE,2013,0.004575480272740911
BE,2014,0.2749209067507985
BE,2015,0.004575480272740911
BE,2016,0.009876175270044092
BE,2017,0.02233056366431469
BE,2018,0.04434562400818961
BE,2019,0.06495578311590898
BE,2020,0.004575480272740911
BG,1994,0.06154512213805232
BG,1995,0.2636475794532139
BG,1996,0.014876425414894947
BG,1997,0.13480031019777308
BG,1998,0.014876425414894947
BG,1999,0.11805042653984647
BG,2000,0.15477621337822448
BG,2001,0.03629963954977527
BG,2002,0.014876425414894947
BG,2003,0.014876425414894947
BG,2004,0.0830487854909101
BG,2005,0.030989889149542683
BG,2006,0.048601661022331
BG,2007,0.17925246772891482
BG,2008,0.19049164454918688
